date,Basel
2021-06-07 12:00:00,21.12053
2021-06-07 13:00:00,20.020529
2021-06-07 14:00:00,19.590528
2021-06-07 15:00:00,19.740528
2021-06-07 16:00:00,19.530529
2021-06-07 17:00:00,19.14053
2021-06-07 18:00:00,19.000528
2021-06-07 19:00:00,18.670528
2021-06-07 20:00:00,18.020529
2021-06-07 21:00:00,17.64053
2021-06-07 22:00:00,17.360529
2021-06-07 23:00:00,17.04053
2021-06-08 00:00:00,16.31053
2021-06-08 01:00:00,15.680529
2021-06-08 02:00:00,15.350529
2021-06-08 03:00:00,15.030529
2021-06-08 04:00:00,14.900529
2021-06-08 05:00:00,14.780529
2021-06-08 06:00:00,14.640529
2021-06-08 07:00:00,15.290529
2021-06-08 08:00:00,16.280529
2021-06-08 09:00:00,16.670528
2021-06-08 10:00:00,16.70053
2021-06-08 11:00:00,16.70053
2021-06-08 12:00:00,16.88053
2021-06-08 13:00:00,16.850529
2021-06-08 14:00:00,19.770529
2021-06-08 15:00:00,19.930529
2021-06-08 16:00:00,20.850529
2021-06-08 17:00:00,20.430529
2021-06-08 18:00:00,20.37053
2021-06-08 19:00:00,20.440529
2021-06-08 20:00:00,20.07053
2021-06-08 21:00:00,18.940529
2021-06-08 22:00:00,18.160528
2021-06-08 23:00:00,17.110529
2021-06-09 00:00:00,16.180529
2021-06-09 01:00:00,15.720529
2021-06-09 02:00:00,15.360529
2021-06-09 03:00:00,14.930529
2021-06-09 04:00:00,14.390529
2021-06-09 05:00:00,13.900529
2021-06-09 06:00:00,13.820529
2021-06-09 07:00:00,14.210529
2021-06-09 08:00:00,15.160529
2021-06-09 09:00:00,16.280529
2021-06-09 10:00:00,17.96053
2021-06-09 11:00:00,18.660528
2021-06-09 12:00:00,19.910528
2021-06-09 13:00:00,20.340528
2021-06-09 14:00:00,23.56053
2021-06-09 15:00:00,22.72053
2021-06-09 16:00:00,22.520529
2021-06-09 17:00:00,23.31053
2021-06-09 18:00:00,22.780529
2021-06-09 19:00:00,22.270529
2021-06-09 20:00:00,21.72053
2021-06-09 21:00:00,20.920528
2021-06-09 22:00:00,20.330528
2021-06-09 23:00:00,19.580528
2021-06-10 00:00:00,18.690529
2021-06-10 01:00:00,17.81053
2021-06-10 02:00:00,16.930529
2021-06-10 03:00:00,16.330528
2021-06-10 04:00:00,15.860529
2021-06-10 05:00:00,15.470529
2021-06-10 06:00:00,15.210529
2021-06-10 07:00:00,15.530529
2021-06-10 08:00:00,16.910528
2021-06-10 09:00:00,19.05053
2021-06-10 10:00:00,20.930529
2021-06-10 11:00:00,21.910528
2021-06-10 12:00:00,22.670528
2021-06-10 13:00:00,23.410528
2021-06-10 14:00:00,24.63053
2021-06-10 15:00:00,25.020529
2021-06-10 16:00:00,25.29053
2021-06-10 17:00:00,24.500528
2021-06-10 18:00:00,23.97053
2021-06-10 19:00:00,23.96053
2021-06-10 20:00:00,23.260529
2021-06-10 21:00:00,22.190529
2021-06-10 22:00:00,21.020529
2021-06-10 23:00:00,19.97053
2021-06-11 00:00:00,18.88053
2021-06-11 01:00:00,17.990528
2021-06-11 02:00:00,17.20053
2021-06-11 03:00:00,16.37053
2021-06-11 04:00:00,15.960529
2021-06-11 05:00:00,15.520529
2021-06-11 06:00:00,15.460529
2021-06-11 07:00:00,15.990529
